AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Supported languages,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Developers,Publishers,Categories,Genres,Tags
Prehistoric Gal,"Apr 9, 2024",0 - 20000,0,0,3.59,40,0,"['English', 'Portuguese - Brazil']",True,False,False,0,0,10,0,20,0,0,lightUP,lightUP,"Single-player,Steam Achievements,Full controller support,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Save Anytime,Steam Cloud,Family Sharing","Action,Adventure,Indie,RPG","Side Scroller,Metroidvania,2D Platformer,Platformer,Action RPG,RPG,Action-Adventure,Female Protagonist,2D,Cute,Dinosaurs,Action,Controller,Nonlinear,Colorful,Pixel Graphics,Adventure,Family Friendly,1980s,1990's"
Aground Zero Playtest,"Dec 2, 2021",0 - 0,0,0,0.0,0,0,[],True,False,False,0,0,0,0,0,0,0,,,,,
Helle's Undersea City Project - Bringing Air to The Garden,"Oct 5, 2023",0 - 20000,1,0,11.99,20,1,"['English', 'Simplified Chinese', 'Japanese', 'Traditional Chinese']",True,False,False,0,0,63,12,23,0,0,Caro Builders,Emma Create,"Single-player,Family Sharing","Adventure,Indie,Simulation","Simulation,Pixel Graphics,Female Protagonist,City Builder,Cute,Underwater,Resource Management,Time Management,Sci-fi,Fantasy,Building,Indie,Adventure,Futuristic,Story Rich,Singleplayer,Colorful,Tutorial"
Brawl Tactics: Origins,"Oct 31, 2024",0 - 20000,1,0,9.79,30,0,"['English', 'Spanish - Spain']",True,False,False,0,0,28,6,61,0,0,asraworks,asraworks,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Indie,Strategy","Turn-Based Combat,Strategy,Deckbuilding,Rogue-lite,Card Game,Card Battler,Rogue-like,Turn-Based Strategy,2D,Fantasy,Indie,Tactical,Turn-Based Tactics,Isometric,Pixel Graphics,Singleplayer,Roguelike Deckbuilder"
Space Gears Playtest,"Mar 31, 2023",0 - 0,0,0,0.0,0,0,[],True,False,False,0,0,0,0,0,0,0,,,,,
Aeon on Mosaic: Anemone 时间碎片：奇迹,"Jul 30, 2020",0 - 20000,0,0,1.09,0,0,"['Simplified Chinese', 'English']",True,True,True,0,0,75,6,12,0,0,Fantasia Studio,Fantasia Studio,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Adventure,Indie","Adventure,Visual Novel,Romance,Mystery,Anime,Multiple Endings,Drama,Atmospheric,Indie,Emotional,Singleplayer"
Firestone – Idle Clicker Online RPG,"Apr 1, 2024",500000 - 1000000,1785,0,0.0,0,1,"['English', 'German', 'Spanish - Spain', 'Greek', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'French', 'Japanese', 'Korean', 'Polish', 'Traditional Chinese', 'Turkish', 'Danish', 'Finnish', 'Swedish', 'Portuguese - Portugal', 'Spanish - Latin America', 'Dutch', 'Italian', 'Czech', 'Hungarian', 'Norwegian', 'Ukrainian']",True,True,True,0,0,4891,1401,75,0,20787,Holyday Studios,Holyday Studios,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet","Casual,Indie,RPG,Free To Play","Idler,Clicker,RPG,Free to Play,Action,Simulation,Auto Battler,Co-op,MMORPG,Violent,Multiplayer,Massively Multiplayer,Time Management,Online Co-Op,2D,PvE,Team-Based,Indie,PvP,Gore"
MageWorks,"Mar 28, 2019",0 - 20000,0,0,9.99,0,0,['English'],True,False,False,0,0,9,7,0,0,0,"Earthborn Interactive, LLC","Earthborn Interactive, LLC","Single-player,Tracked Controller Support,VR Only,Family Sharing",Casual,"VR,Action,Adventure,Magic,Medieval,Combat,Exploration,Crafting,Fantasy,Dungeon Crawler,Action-Adventure,PvE,Action RPG,Rogue-like,RPG,Indie,First-Person,Singleplayer,Early Access,Stylized"
Arsilon,"May 26, 2022",20000 - 50000,0,0,5.99,0,0,['English'],True,False,False,0,0,4,0,0,0,0,ArtTrace,ArtTrace,"Single-player,Family Sharing","Action,Adventure,Indie,Early Access","Early Access,Exploration,3D Platformer,Idler,3D,First-Person,Third Person,Relaxing,Open World,Realistic,Adventure,6DOF,Physics,Singleplayer,Sci-fi,Atmospheric,Action-Adventure,Shooter,FPS,Third-Person Shooter"
Helltown,"Sep 27, 2017",20000 - 50000,0,0,7.49,0,0,"['English', 'French']",True,False,False,0,0,73,20,11,0,109,WildArts Games,WildArts Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie","Horror,Atmospheric,Psychological Horror,Indie,Retro,Multiple Endings,First-Person,Adventure,Lovecraftian,Exploration,Pixel Graphics,Survival Horror,Mystery,Stealth,Violent,Singleplayer,Mature,Walking Simulator,3D,Dark"
Bepuzzled Space Jigsaw Puzzle,"Jun 25, 2019",20000 - 50000,0,0,1.59,0,0,['English'],True,True,True,0,0,0,1,0,0,0,Team Spikkeee,Team Spikkeee,"Single-player,Family Sharing",Casual,"Casual,Puzzle,Space"
Claris the Princess Knight,"May 5, 2022",0 - 20000,0,0,5.59,0,0,"['Traditional Chinese', 'Japanese', 'English', 'Thai']",True,False,False,0,0,0,0,0,0,0,Circle Fairy Flower,"BokiBoki Games,BokiBoki Game","Single-player,Family Sharing","Adventure,Casual,Indie,RPG",
Oil-Manager,"Oct 14, 2022",0 - 20000,0,0,17.99,0,0,"['English', 'German']",True,False,False,0,0,2,5,0,0,0,Josh,Josh,"Single-player,Family Sharing","Casual,Indie,Simulation,Early Access","Casual,Simulation,Sandbox,3D,First-Person,Relaxing,Capitalism,Management,Indie,Early Access,Resource Management,Singleplayer"
Dark Matter,"Feb 27, 2015",0 - 0,0,0,0.99,0,0,['English'],True,False,False,0,0,0,0,0,0,0,,Meridian4,"Single-player,Partial Controller Support,Family Sharing","Action,Casual,Indie",
Radium 2,"Mar 1, 2017",0 - 20000,0,0,2.99,0,1,['English'],True,True,True,0,0,30,1,71,0,202,Develobster,Develobster,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie","Indie,Action,Minimalist,Physics,Arcade,Puzzle,Surreal,Difficult,Singleplayer,Controller,Soundtrack,Great Soundtrack"
Robot-X,"Nov 25, 2022",0 - 20000,0,0,0.79,0,0,['English'],True,False,False,0,0,20,0,11,0,0,Isaac Kasdorf,Isaac Kasdorf,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together,Family Sharing","Action,Adventure,Indie","2D Platformer,Shooter,Retro,Action,Adventure,2D,Linear,Platformer,Pixel Graphics,Side Scroller,Sci-fi,Robots,Futuristic,1990's,Local Co-Op,Local Multiplayer,Indie,Difficult,Singleplayer,Co-op"
A Moustache in the House 2,"Feb 21, 2022",0 - 20000,0,0,3.99,0,0,['English'],True,False,False,0,0,2,0,0,0,0,Games On Acidzz,Games On Acidzz,"Single-player,Family Sharing","Action,Adventure","Action,Action-Adventure,FPS,3D Platformer,Puzzle-Platformer,3D,Cartoon,Cartoony,First-Person,Stylized,Funny,Horror,Investigation,Mystery,Survival Horror,Narration,Open World,PvE,Stealth,Story Rich"
Battle Ranch: Pigs vs Plants,"Feb 2, 2015",100000 - 200000,1,0,0.55,72,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Russian']",True,True,True,0,0,520,533,16,902,359,Playboom,Senpai Industrial Studios,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Casual,Indie,Strategy","Indie,Strategy,Casual,Tower Defense,2D,Singleplayer,Shoot 'Em Up,Family Friendly,Comedy,Anime,Funny,Third Person,Story Rich,Great Soundtrack,Shooter,Atmospheric"
Mind of War,"Sep 25, 2024",0 - 20000,0,0,8.24,25,0,"['Spanish - Spain', 'English', 'Catalan']",True,True,True,0,0,19,0,51,0,0,Pi Video games,Pi Video games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Steam Cloud,Remote Play Together,Family Sharing","Indie,RPG,Strategy,Early Access","Tactical RPG,Turn-Based Tactics,Fantasy,Turn-Based Strategy,Trading Card Game,Turn-Based Combat,Strategy,Strategy RPG,RPG,Singleplayer,Female Protagonist,2D,Funny,Colorful,Stylized,Mythology,Early Access,PvP,PvE,Multiplayer"
